disc_code,year,discipline,disc,otherpostgraduate,bachelor,otherundergraduate,enablingcourses,nonawardcourses,totaleftsl,doctorate,masters,stud_contrib,band,disc_accval,treat,treat_group,disc_num,dup,gap,_spell,_seq,_end,length,short,t,ln_bachelor,ln_stud_contrib,dem_bachelor,ln_dem_bachelor,de_treat,np1,np2,event_time1,event_time2,event_time
010199,2006,mathematical sciences,mathematicalsciences,123,7148,102,735,69,8429,81,171,4520,2,Mathematical Sciences nec,0,1,mathematicalsciences,0,0,1,1,0,13,0,0,8.874588,8.4162674,-1924,-.22832394,0,0,1,,-6,-6
010199,2007,mathematical sciences,mathematicalsciences,136,7251,158,798,71,8660,74,170,4520,2,Mathematical Sciences nec,0,1,mathematicalsciences,0,0,1,2,0,13,0,1,8.888895,8.4162674,-1821,-.21401691,0,0,1,,-5,-5
010199,2008,mathematical sciences,mathematicalsciences,137,7372,252,794,68,8897,73,200,4520,2,Mathematical Sciences nec,0,1,mathematicalsciences,0,0,1,3,0,13,0,2,8.9054441,8.4162674,-1700,-.1974678,0,0,1,,-4,-4
010199,2009,mathematical sciences,mathematicalsciences,137,8058,247,1071,57,9892,80,244,4520,NP,Mathematical Sciences nec,1,1,mathematicalsciences,0,0,1,4,0,13,0,3,8.994421,8.4162674,-1014,-.10849094,0,0,1,,-3,-3
010199,2010,mathematical sciences,mathematicalsciences,149,8328,290,1227,64,10377,74,245,4520,NP,Mathematical Sciences nec,1,1,mathematicalsciences,0,0,1,5,0,13,0,4,9.027379,8.4162674,-744,-.075532913,0,0,1,,-2,-2
010199,2011,mathematical sciences,mathematicalsciences,157,8721,370,1345,67,10974,70,244,4520,NP,Mathematical Sciences nec,1,1,mathematicalsciences,0,0,1,6,0,13,0,5,9.0734892,8.4162674,-351,-.02942276,0,0,1,,-1,-1
010199,2012,mathematical sciences,mathematicalsciences,167,9413,457,1491,61,11922,79,253,4520,NA,NA,1,1,mathematicalsciences,0,0,1,7,0,13,0,6,9.149847,8.4162674,341,.046935081,0,0,1,,0,0
010199,2013,mathematical sciences,mathematicalsciences,211,10081,564,1697,57,13006,87,309,4520,2,Mathematical Sciences nec,0,1,mathematicalsciences,0,0,1,8,0,13,0,7,9.2184076,8.4162674,1009,.11549568,1,0,1,,1,1
010199,2014,mathematical sciences,mathematicalsciences,209,10214,533,1774,60,13178,68,321,4520,2,Mathematical Sciences nec,0,1,mathematicalsciences,0,0,1,9,0,13,0,8,9.2315149,8.4162674,1142,.12860298,1,0,1,,2,2
010199,2015,mathematical sciences,mathematicalsciences,134,10157,585,1657,52,13048,85,377,4520,2,Mathematical Sciences nec,0,1,mathematicalsciences,0,0,1,10,0,13,0,9,9.2259188,8.4162674,1085,.12300682,1,0,1,,3,3
010199,2016,mathematical sciences,mathematicalsciences,132,10422,653,1759,58,13505,89,391,4520,2,Mathematical Sciences nec,0,1,mathematicalsciences,0,0,1,11,0,13,0,10,9.2516747,8.4162674,1350,.1487627,1,0,1,,4,4
010199,2017,mathematical sciences,mathematicalsciences,143,10464,799,1703,79,13716,74,453,4520,2,Mathematical Sciences n.e.c.,0,1,mathematicalsciences,0,0,1,12,0,13,0,11,9.2556963,8.4162674,1392,.15278435,1,0,1,,5,5
